code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
CSKA,3.0,3.0,0.0,1.15499,-6.0,E,0.0,0.0,0.0,1.0,1963,3.0,0.0,0.0,0.0,0.0,CSKA Moscow,1.4571,74347,3.0,0.0,0.0,0.0,0.0,2017-05-01 20:51
CEL,3.0,3.0,0.0,1.30243,-11.0,C,0.0,0.0,0.0,1.0,256,3.0,0.0,0.0,0.0,0.0,Celtic,2.40609,73714,3.0,0.0,0.0,0.0,0.0,2017-05-01 20:51
NAP,1.0,2.0,3.0,0.80508,3.0,B,1.0,0.0,0.0,0.0,114,1.0,0.0,0.0,1.0,0.0,Napoli,2.4264,73848,2.0,0.0,3.0,0.0,1.0,2017-05-01 20:51
LUD,3.0,3.0,0.0,0.96754,-9.0,A,0.0,0.0,1.0,0.0,13018,3.0,0.0,0.0,0.0,0.0,Ludogorets,1.64795,103285,3.0,0.0,0.0,0.0,0.0,2017-05-01 20:51
BAR,1.0,0.0,5.0,0.73929,16.0,C,1.0,0.0,0.0,0.0,83,1.0,0.0,1.0,1.0,0.0,Barcelona,3.39012,74014,0.0,0.0,5.0,0.0,1.0,2017-05-01 20:51
JUV,0.0,2.0,4.0,0.51002,9.0,H,1.0,0.0,0.0,0.0,111,0.0,0.69164,1.0,1.0,1.0,Juventus,2.23887,73847,2.0,0.3548,4.0,0.3548,1.0,2017-05-01 20:51
KIEV,3.0,2.0,1.0,0.80262,2.0,B,0.0,0.0,0.0,1.0,440,3.0,0.0,0.0,0.0,0.0,Dynamo Kiev,1.92951,74217,2.0,0.0,1.0,0.0,0.0,2017-05-01 20:51
BMU,2.0,0.0,4.0,0.59548,8.0,D,0.0,1.0,0.0,0.0,132,2.0,0.0,1.0,1.0,0.0,Bayern Munich,2.98047,74078,0.0,0.0,4.0,0.0,1.0,2017-05-01 20:51
COP,1.0,3.0,2.0,1.04018,5.0,G,0.0,0.0,1.0,0.0,909,1.0,0.0,0.0,0.0,0.0,FC Copenhagen,1.28719,72960,3.0,0.0,2.0,0.0,0.0,2017-05-01 20:51
MGB,3.0,2.0,1.0,1.08827,-7.0,C,0.0,0.0,1.0,0.0,268,3.0,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.72846,74048,2.0,0.0,1.0,0.0,0.0,2017-05-01 20:51
WAR,4.0,1.0,1.0,1.53239,-15.0,F,0.0,0.0,1.0,0.0,555,4.0,0.0,0.0,0.0,0.0,Legia Warsaw,1.61261,73949,1.0,0.0,1.0,0.0,0.0,2017-05-01 20:51
SCP,5.0,0.0,1.0,0.8532,-3.0,F,0.0,0.0,0.0,1.0,2250,5.0,0.0,0.0,0.0,0.0,Sporting CP,1.70553,74330,0.0,0.0,1.0,0.0,0.0,2017-05-01 20:51
ARS,0.0,2.0,4.0,1.08178,12.0,A,1.0,0.0,0.0,0.0,359,0.0,0.0,0.0,1.0,0.0,Arsenal,2.22156,73616,2.0,0.0,4.0,0.0,1.0,2017-05-01 20:51
POR,1.0,2.0,3.0,0.92545,6.0,G,0.0,1.0,0.0,0.0,437,1.0,0.0,0.0,1.0,0.0,FC Porto,1.80947,74329,2.0,0.0,3.0,0.0,1.0,2017-05-01 20:51
TOT,3.0,1.0,2.0,0.65335,0.0,E,0.0,0.0,1.0,0.0,367,3.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,2.26979,73602,1.0,0.0,2.0,0.0,0.0,2017-05-01 20:51
SEV,1.0,2.0,3.0,1.0138,4.0,H,0.0,1.0,0.0,0.0,243,1.0,0.0,0.0,1.0,0.0,Sevilla FC,1.89277,93401,2.0,0.0,3.0,0.0,1.0,2017-05-01 20:51
